Id	Anatomic Site Id	Anatomic Site	Classification Id	Classification
46	S3	INFLAMMATORY-NON-INFECTIOUS	CL16	OTHER-INFECT
47	S3	INFLAMMATORY-NOT SPECIFIED BY ETIOLOGY	CL16	OTHER-INFECT
48	S82	KIDNEY	CL7	GU
49	S84	LARYNX	CL14	HEAD/NECK
50	S13	LEG	CL9	SKELETAL
51	S13	LEUKEMIA	CL8	HEM
52	S91	LIPOMA	CL2	SOFT TISSUE
53	S91	LITHS	CL17	OTHER-UNKNOWN
54	S39	LIVER	CL4	GASTROINTESTINAL
55	S94	LUNG	CL12	RESPIRATORY
56	S94	LUPUS	CL1	OTHER
57	S57	LYMPH NODE	CL8	HEM
58	S57	LYMPHANGIOMA	CL8	HEM
59	S57	LYMPHOMA	CL8	HEM
60	S8	MEDIASTINUM	CL12	RESPIRATORY
61	S8	MELANOMA	CL18	SKIN
62	S8	MESOTHELIOMA	CL2	SOFT TISSUE
63	S61	MESOTHELIUM	CL2	SOFT TISSUE
64	S61	MULTIPLE MYELOMA	CL8	HEM
65	S61	MUSCLE	CL2	SOFT TISSUE
66	S61	MUSCLE SMOOTH	CL2	SOFT TISSUE
67	S72	NASOPHARYNX	CL14	HEAD/NECK
68	S74	NERVE	CL10	CENTRAL NERVOUS SYSTEM
69	S74	NEUROECTODERMAL	CL10	CENTRAL NERVOUS SYSTEM
70	S74	NEUROECTODERMAL/NEURAL	CL10	CENTRAL NERVOUS SYSTEM
71	S74	NEUROENDOCRINE	CL3	ENDOCRINE
72	S74	NEUROLEMMOMA/SCHWANNOMA	CL10	CENTRAL NERVOUS SYSTEM
73	S19	OMENTUM	CL2	SOFT TISSUE
74	S51	ORAL CAVITY	CL14	HEAD/NECK
75	S86	ORAL CAVITY - MUCOSA ONLY	CL14	HEAD/NECK
76	S35	OVARY	CL13	GYN
77	S24	PANCREAS	CL4	GASTROINTESTINAL
78	S15	PARATHYROID	CL3	ENDOCRINE
79	S28	PENIS	CL7	GU
80	S28	PERICARDIUM	CL2	SOFT TISSUE
81	S45	PERITONEUM	CL2	SOFT TISSUE
82	S17	PINEAL GLAND	CL2	SOFT TISSUE
83	S49	PITUITARY GLAND	CL3	ENDOCRINE
84	S27	PLACENTA	CL13	GYN
85	S27	PLASMACYTOMA	CL8	HEM
86	S47	PLEURA	CL2	SOFT TISSUE
87	S14	PROSTATE	CL7	GU
88	S64	RECTUM	CL4	GASTROINTESTINAL
89	S97	SALIVARY GLAND	CL14	HEAD/NECK
90	S97	SARCOIDOSIS	CL1	OTHER
91	S97	SARCOMA	CL2	SOFT TISSUE
92	S59	SEMINAL VESICLE	CL7	GU
93	S66	SINUS	CL14	HEAD/NECK
94	S38	SKELETAL MUSCLE	CL2	SOFT TISSUE
95	S1	SKIN	CL18	SKIN
96	S76	SMALL BOWEL	CL4	GASTROINTESTINAL
97	S40	SMALL BOWEL - MUCOSA ONLY	CL4	GASTROINTESTINAL
98	S2	SOFT TISSUE	CL2	SOFT TISSUE
99	S99	SPINAL CORD	CL10	CENTRAL NERVOUS SYSTEM
100	S50	SPLEEN	CL8	HEM
101	S100	STOMACH	CL4	GASTROINTESTINAL
102	S48	STOMACH - MUCOSA ONLY	CL4	GASTROINTESTINAL
103	S48	STRUCTURAL-MECHANICAL-ETIOLOGY NOT SPECIFIED	CL17	OTHER-UNKNOWN
104	S48	SYNDROMES NOT WELL CATEGORIZED	CL17	OTHER-UNKNOWN
105	S41	SYNOVIUM	CL2	SOFT TISSUE
106	S55	TENDON	CL2	SOFT TISSUE
107	S42	TESTIS	CL7	GU
108	S85	THYMUS	CL8	HEM
109	S73	THYROID	CL3	ENDOCRINE
110	S73	TMA BLOCK	CL17	OTHER-UNKNOWN
111	S54	TONSIL	CL14	HEAD/NECK
113	S54	TONSIL - PHARYNGEAL	CL14	HEAD/NECK
112	S21	TONSIL (PHARYNGEAL)	CL14	HEAD/NECK
114	S21	TRACHEA	CL12	RESPIRATORY
115	S21	TRACHEA - MAJOR BRONCHI	CL12	RESPIRATORY
116	S46	TRANSPLANT RELATED	CL1	OTHER
117	S75	UMBILICAL CORD	CL13	GYN
118	S75	UNKNOWN	CL17	OTHER-UNKNOWN
119	S11	URETER	CL7	GU
120	S68	URINARY TRACT	CL7	GU
121	S68	URINE	CL7	GU
122	S70	UTERUS	CL13	GYN
123	S70	UTERUS-TROPHOBLASTIC	CL13	GYN
124	S95	VAGINA	CL13	GYN
125	S25	VASCULAR MALFORMATION	CL6	CARDIO VASCULAR
126	S88	VEIN	CL6	CARDIO VASCULAR
127	S32	VERTEBRA	CL9	SKELETAL
128	S78	VULVA	CL13	GYN
